Size,Bandwidth_GBs
8,0.124176
8,0.0774086
8,0.126818
8,0.138615
8,0.129575
8,0.138615
8,0.135465
8,0.0827842
24,1.21919
24,1.19209
24,1.21919
24,1.19209
24,1.21919
24,1.21919
24,1.21919
24,1.24754
40,1.91041
40,3.23938
40,3.10441
40,3.23938
40,3.31137
40,3.23938
40,3.31137
40,3.31137
56,6.63779
56,6.63779
56,3.74439
56,6.63779
56,6.08464
56,6.08464
56,6.63779
56,6.63779
72,5.48634
72,5.61393
72,5.5494
72,9.46662
72,5.61393
72,9.46662
72,9.65595
72,9.28457
88,13.6079
88,13.8695
88,14.7187
88,15.0253
88,8.38623
88,14.1415
88,8.19564
88,12.224
104,19.7513
104,19.7513
104,9.32702
104,20.1464
104,20.1464
104,19.7513
104,11.5784
104,12.2844
120,25.7905
120,25.7905
120,26.2962
120,26.2962
120,15.0686
120,26.2962
120,15.415
120,25.7905
136,22.0843
136,38.2794
136,22.6655
136,39.1494
136,22.0843
136,22.0843
136,22.0843
136,37.4473
152,27.5863
152,47.8162
152,27.5863
152,46.7767
152,27.5863
152,47.8162
152,27.2371
152,47.8162
168,32.8571
168,57.1427
168,55.9269
168,57.1427
168,53.6442
168,57.1427
168,55.9269
168,57.1427
184,67.0869
184,68.5453
184,67.0869
184,67.0869
184,67.0869
184,67.0869
184,65.6893
184,65.6893
200,42.3328
200,77.6102
200,79.2615
200,77.6102
200,77.6102
200,79.2615
200,79.2615
200,74.5058
216,90.5246
216,92.4506
216,92.4506
216,90.5246
216,88.6771
216,90.5246
216,90.5246
216,90.5246
232,100.255
232,98.2892
232,102.301
232,102.301
232,102.301
232,98.2892
232,102.301
232,102.301
248,112.314
248,112.314
248,112.314
248,112.314
248,112.314
248,112.314
248,112.314
248,114.56
264,122.471
264,122.471
264,127.273
264,127.273
264,122.471
264,127.273
264,122.471
264,127.273
280,137.765
280,119.698
280,123.755
280,132.756
280,137.765
280,119.698
280,137.765
280,137.765
296,148.361
296,151.109
296,148.361
296,148.361
296,151.109
296,148.361
296,145.712
296,148.361
312,161.89
312,161.89
312,161.89
312,159.05
312,100.732
312,161.89
312,161.89
312,161.89
328,151.811
328,169.823
328,172.751
328,189.048
328,169.823
328,83.4962
328,172.751
328,166.992
344,190.015
344,183.682
344,193.349
344,186.795
344,114.801
344,183.682
344,183.682
344,186.795
360,120.699
360,188.593
360,172.428
360,194.676
360,194.676
360,191.586
360,194.676
360,191.586
376,208.995
376,205.729
376,199.495
376,208.995
376,208.995
376,205.729
376,205.729
376,202.564
392,223.611
392,216.834
392,131.294
392,213.598
392,216.834
392,213.598
392,210.457
392,196.042
408,231.391
408,227.988
408,234.896
408,224.684
408,227.988
408,224.684
408,227.988
408,221.474
424,239.185
424,232.541
424,242.651
424,235.816
424,235.816
424,235.816
424,242.651
424,235.816
440,237.242
440,246.992
440,237.242
440,250.422
440,250.422
440,253.949
440,243.654
440,231.159
456,242.069
456,261.697
456,208.232
456,254.81
456,251.501
456,261.697
456,242.069
456,254.81
472,266.005
472,266.005
472,269.459
472,262.638
472,259.355
472,220.727
472,269.459
472,167.326
488,284.345
488,280.745
488,277.236
488,299.715
488,280.745
488,291.827
488,291.827
488,280.745
504,303.296
504,285.025
504,299.457
504,281.632
504,285.025
504,303.296
504,292.063
504,299.457
520,276.736
520,265.084
520,254.373
520,296.27
520,292.825
520,265.084
520,273.728
520,276.736
536,278.714
536,278.714
536,183.264
536,262.319
536,278.714
536,273.026
536,278.714
536,264.916
552,267.715
552,286.644
552,260.347
552,289.569
552,267.715
552,289.569
552,179.606
552,283.778
568,283.459
568,278.21
568,286.159
568,283.459
568,288.911
568,288.911
568,291.716
568,288.911
584,320.842
584,320.842
584,320.842
584,317.633
584,330.868
584,314.488
584,317.633
584,320.842
600,322.381
600,328.702
600,322.381
600,325.511
600,322.381
600,328.702
600,319.311
600,328.702
616,333.392
616,339.804
616,333.392
616,336.568
616,327.218
616,339.804
616,330.277
616,333.392
632,309.994
632,320.683
632,329.197
632,320.683
632,317.942
632,326.309
632,320.683
632,323.472
648,325.888
648,315.376
648,328.627
648,320.546
648,323.195
648,323.195
648,328.627
648,310.37
664,318.307
664,328.493
664,336.571
664,328.493
664,331.142
664,320.794
664,328.493
664,323.32
680,336.44
680,336.44
680,336.44
680,336.44
680,336.44
680,341.781
680,339.089
680,339.089
696,334.183
696,344.387
696,344.387
696,344.387
696,349.727
696,341.778
696,341.778
696,344.387
712,354.984
712,347.153
712,344.619
712,347.153
712,347.153
712,349.725
712,357.673
712,310.611
728,335.773
728,371.117
728,379.682
728,373.929
728,371.117
728,326.878
728,371.117
728,376.783
744,373.566
744,379.059
744,376.292
744,368.229
744,368.229
744,381.867
744,379.059
744,384.717
760,384.237
760,392.651
760,384.237
760,381.512
760,376.176
760,389.806
760,381.512
760,387.001
776,364.169
776,392.182
776,368.961
776,392.182
776,364.169
776,376.389
776,376.389
776,389.458
792,264.337
792,379.341
792,405.684
792,384.332
792,381.82
792,269.21
792,394.72
792,384.332
808,206.812
808,269.038
808,387.278
808,400.018
808,267.853
808,389.761
808,377.657
808,397.403
824,334.574
824,355.25
824,369.793
824,355.25
824,363.417
824,365.518
824,247.01
824,363.417
840,363.061
840,375.509
840,365.078
840,371.266
840,363.061
840,363.061
840,365.078
840,365.078
856,413.584
856,413.584
856,411.093
856,268.667
856,403.795
856,362.986
856,408.631
856,421.243
872,389.1
872,277.711
872,279.906
872,419.031
872,400.092
872,414.13
872,414.13
872,276.626
888,284.647
888,378.551
888,388.566
888,417.266
888,419.651
888,374.688
888,417.266
888,412.578
904,288.292
904,404.836
904,420.493
904,288.292
904,425.191
904,407.001
904,289.388
904,404.836
920,410.558
920,294.131
920,406.325
920,412.708
920,289.806
920,294.131
920,408.431
920,404.242
936,295.626
936,384.872
936,422.761
936,436.325
936,422.761
936,291.403
936,434.004
936,427.187
952,435.083
952,446.593
952,430.644
952,441.917
952,385.416
952,446.593
952,301.45
952,441.917
968,298.86
968,427.78
968,299.887
968,405.894
968,297.84
968,434.165
968,297.84
968,394.874
984,301.592
984,415.557
984,308.821
984,425.358
984,450.879
984,427.374
984,435.632
984,435.632
1000,443.487
1000,468.001
1000,465.661
1000,308.385
1000,452.098
1000,311.479
1000,431.168
1000,445.609
1016,309.12
1016,453.473
1016,308.129
1016,455.622
1016,311.121
1016,449.235
1016,387.646
1016,403.934
1032,319.962
1032,450.855
1032,444.79
1032,444.79
1032,444.79
1032,380.031
1032,319.962
1032,444.79
1048,456.641
1048,324.722
1048,324.722
1048,484.775
1048,325.756
1048,475.756
1048,454.611
1048,325.756
1064,470.69
1064,456.427
1064,377.902
1064,319.499
1064,320.47
1064,492.685
1064,464.47
1064,466.525
1080,468.23
1080,328.186
1080,331.187
1080,487.128
1080,466.221
1080,331.187
1080,325.238
1080,472.302
1096,328.07
1096,332.952
1096,484.294
1096,501.668
1096,408.292
1096,329.035
1096,470.05
1096,476.051
1112,477.851
1112,479.842
1112,406.933
1112,338.712
1112,338.712
1112,336.731
1112,481.85
1112,339.711
1128,340.517
1128,342.486
1128,339.542
1128,339.542
1128,450.57
1128,341.499
1128,337.607
1128,342.486
1144,316.586
1144,340.462
1144,339.514
1144,466.994
1144,339.514
1144,341.416
1144,339.514
1144,337.633
1160,344.282
1160,467.607
1160,345.231
1160,347.143
1160,347.143
1160,348.108
1160,345.231
1160,328.06
1176,455.123
1176,451.929
1176,458.362
1176,396.307
1176,464.981
1176,463.308
1176,344.384
1176,342.552
1192,413.526
1192,472.601
1192,459.473
1192,457.883
1192,465.945
1192,459.473
1192,349.151
1192,322.752
1208,487.113
1208,460.693
1208,349.369
1208,418.168
1208,487.113
1208,481.931
1208,475.191
1208,483.646
1224,353.237
1224,414.031
1224,469.793
1224,353.237
1224,417.75
1224,493.034
1224,353.237
1224,465.095
1240,483.784
1240,474.173
1240,482.155
1240,463.431
1240,353.581
1240,477.334
1240,488.738
1240,483.784
1256,366.383
1256,503.149
1256,499.726
1256,363.662
1256,488.105
1256,367.299
1256,475.468
1256,367.299
1272,465.082
1272,346.406
1272,534.349
1272,336.354
1272,547.951
1272,375.777
1272,523.217
1272,372.065
1288,518.46
1288,329.427
1288,520.206
1288,451.758
1288,501.627
1288,337.339
1288,365.251
1288,508.228
1304,336.228
1304,493.344
1304,422.303
1304,479.89
1304,512.503
1304,340.567
1304,496.438
1304,529.644
1320,376.505
1320,378.26
1320,507.105
1320,436.219
1320,335.97
1320,499.304
1320,428.163
1320,374.766
1336,374.395
1336,331.799
1336,377.799
1336,376.942
1336,493.268
1336,468.257
1336,374.395
1336,376.089
1352,433.173
1352,373.326
1352,515.869
1352,472.88
1352,451.557
1352,482.257
1352,416.227
1352,328.009
1368,340.41
1368,383.899
1368,502.276
1368,385.597
1368,384.746
1368,458.658
1368,379.717
1368,493.739
1384,495.53
1384,383.636
1384,375.559
1384,383.636
1384,379.555
1384,335.321
1384,375.559
1384,378.749
1400,377.147
1400,384.293
1400,378.712
1400,383.486
1400,430.517
1400,336.788
1400,373.291
1400,384.293
1416,391.479
1416,389.844
1416,528.995
1416,355.686
1416,507.433
1416,418.689
1416,499.292
1416,454.344
1432,494.765
1432,385.039
1432,506.576
1432,329.275
1432,447.258
1432,455.798
1432,498.64
1432,482.271
1448,491.866
1448,500.694
1448,523.514
1448,484.543
1448,494.356
1448,339.601
1448,483.344
1448,501.981
1464,509.209
1464,397.629
1464,432.056
1464,490.442
1464,399.22
1464,464.209
1464,494.084
1464,400.823
1480,523.069
1480,506.196
1480,394.578
1480,467.883
1480,398.431
1480,382.017
1480,507.455
1480,502.455
1496,399.294
1496,484.724
1496,398.531
1496,480.257
1496,400.06
1496,334.025
1496,489.276
1496,336.18
1512,508.147
1512,401.724
1512,533.618
1512,395.75
1512,495.148
1512,400.214
1512,511.812
1512,404.011
1528,408.729
1528,411.047
1528,550.49
1528,554.703
1528,532.95
1528,411.047
1528,560.422
1528,413.391
1544,588.916
1544,375.671
1544,600.058
1544,502.311
1544,358.099
1544,546.851
1544,408.879
1544,545.507
1560,523.433
1560,350.304
1560,401.145
1560,528.314
1560,479.168
1560,343.404
1560,407.638
1560,500.324
1576,502.869
1576,519.819
1576,524.534
1576,407.253
1576,526.924
1576,495.331
1576,457.153
1576,406.537
1592,398.717
1592,361.471
1592,351.774
1592,384.431
1592,409.792
1592,515.372
1592,509.806
1592,515.372
1608,494.474
1608,509.109
1608,504.84
1608,543.586
1608,486.482
1608,495.491
1608,502.732
1608,401.348
1624,575.234
1624,556.972
1624,359.626
1624,371.034
1624,535.13
1624,355.978
1624,417.729
1624,568.576
1640,402.068
1640,366.747
1640,520.766
1640,549.317
1640,366.211
1640,541.012
1640,549.317
1640,568.001
1656,413.269
1656,571.365
1656,346.07
1656,545.726
1656,563.797
1656,415.961
1656,410.611
1656,542.25
1672,552.779
1672,357.636
1672,559.912
1672,413.925
1672,533.523
1672,536.823
1672,362.617
1672,536.823
1688,367.543
1688,574.385
1688,366.527
1688,575.631
1688,540.46
1688,550.552
1688,362.522
1688,539.361
1704,543.013
1704,571.713
1704,459.898
1704,437.573
1704,357.226
1704,530.236
1704,358.173
1704,528.165
1720,558.869
1720,532.925
1720,342.264
1720,549.945
1720,522.813
1720,348.322
1720,356.894
1720,343.116
1736,354.832
1736,576.329
1736,547.12
1736,525.604
1736,553.594
1736,542.886
1736,502.997
1736,501.201
1752,356.002
1752,424.769
1752,579.858
1752,556.167
1752,356.446
1752,360.038
1752,596.806
1752,475.657
1768,426.855
1768,358.958
1768,576.465
1768,428.741
1768,322.03
1768,360.737
1768,354.586
1768,527.382
1784,564.587
1784,549.922
1784,570.015
1784,379.524
1784,601.233
1784,421.633
1784,578.922
1784,370.974
1800,425.597
1800,556.732
1800,573.666
1800,553.667
1800,565.072
1800,305.105
1800,553.667
1800,592.826
1816,558.43
1816,543.605
1816,446.42
1816,586.139
1816,544.569
1816,564.59
1816,551.413
1816,601.05
1832,575.64
1832,301.42
1832,596.513
1832,566.255
1832,362.193
1832,561.172
1832,594.245
1832,562.181
1848,435.098
1848,370.263
1848,304.069
1848,555.072
1848,564.931
1848,594.498
1848,598.976
1848,587.905
1864,573.737
1864,562.761
1864,420.79
1864,573.737
1864,559.84
1864,555.993
1864,327.85
1864,543.845
1880,559.807
1880,535.23
1880,564.608
1880,575.466
1880,423.638
1880,543.179
1880,550.446
1880,359.745
1896,565.529
1896,569.376
1896,294.194
1896,429.222
1896,426.488
1896,601.065
1896,570.346
1896,441.68
1912,425.053
1912,352.816
1912,543.878
1912,527.04
1912,614.563
1912,550.919
1912,298.133
1912,531.981
1928,555.682
1928,577.946
1928,601.024
1928,567.524
1928,567.524
1928,428.453
1928,446.121
1928,566.595
1944,591.529
1944,325.587
1944,592.524
1944,591.529
1944,286.612
1944,592.524
1944,358.411
1944,586.599
1960,580.807
1960,370.369
1960,371.909
1960,565.208
1960,604.353
1960,568.803
1960,408.421
1960,572.443
1976,584.633
1976,441.849
1976,550.973
1976,363.279
1976,557.733
1976,428.318
1976,357.915
1976,584.633
1992,440.471
1992,607.82
1992,571.182
1992,572.953
1992,439.423
1992,570.301
1992,496.713
1992,440.996
2008,552.228
2008,437.663
2008,353.592
2008,473.537
2008,423.832
2008,454.619
2008,488.316
2008,560.47
2024,442.09
2024,371.855
2024,589.681
2024,579.823
2024,559.418
2024,437.527
2024,362.32
2024,290.574
2040,292.072
2040,308.828
2040,573.342
2040,589.923
2040,446.52
2040,594.447
2040,598.116
2040,595.36
